Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.3,0.05,0.15,0.3,0.2,0,0.50724503
0.3,0.1,0.1,0.3,0.2,0,0.50722033
0.2,0.2,0.1,0.35,0.15,0,0.50702499
0.25,0.1,0.15,0.35,0.15,0,0.50663333
0.1,0.15,0.2,0.35,0.2,0,0.50653719
0.1,0.35,0.05,0.35,0.15,0,0.50636951
0.15,0.3,0.05,0.35,0.15,0,0.50626165
0.1,0.25,0.1,0.25,0.3,0,0.50616944
0.2,0.25,0.05,0.35,0.15,0,0.50602161
0.15,0.25,0.05,0.25,0.3,0,0.50592454
0.25,0.15,0.1,0.35,0.15,0,0.5050344
0.2,0.05,0.2,0.25,0.3,0,0.50480373
0.2,0.15,0.1,0.25,0.3,0,0.50457487
0.35,0.05,0.1,0.35,0.15,0,0.50411898
0.3,0.05,0.15,0.35,0.15,0,0.50384715
0.15,0.2,0.1,0.25,0.3,0,0.50336773
0.3,0.1,0.05,0.2,0.35,0,0.50326959
0.1,0.3,0.05,0.25,0.3,0,0.50253785
0.3,0.1,0.1,0.35,0.15,0,0.5017158
0.15,0.05,0.25,0.3,0.25,0,0.50157986
0.35,0.05,0.1,0.3,0.2,0,0.50073435
0.2,0.2,0.05,0.25,0.3,0,0.50058767
0.3,0.15,0.05,0.35,0.15,0,0.50000069
0.05,0.35,0.05,0.2,0.35,0,0.49965625
0.35,0.1,0.05,0.3,0.2,0,0.49903904
0.15,0.15,0.15,0.25,0.3,0,0.49621205
0.25,0.2,0.05,0.35,0.15,0,0.49586999
0.05,0.3,0.1,0.2,0.35,0,0.49576279
0.1,0.2,0.15,0.3,0.25,0,0.49469021
0.25,0.05,0.15,0.2,0.35,0,0.49382103
0.05,0.3,0.1,0.3,0.25,0,0.49344747
0.35,0.1,0.05,0.35,0.15,0,0.49290129
